Company Name,Company Ticker,Security Code,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Average Sales,Net Cash Flow (Rs Cr),Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Average NCF,Dividends (Rs Cr),Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Company value
UPL LIMITED,UPL,512070,0.2015,6867688.095,0.2884429,0.42,19011,"14,048","16,312","17,378","21,837","35,756","21,066",131,"1,703",-21,-33,"3,898",1135.6,216.2,345.4,404.4,402.57,461.76,366.066,0.004544628,0.004139623,0.012309813999999999,0.002503619,58744.2068,203659.7427,11836.95767,118370000000.0
M.R.F. LTD,MRF,500290,0.4428,25107042.47,170.72788880000002,68.0,12576,20179,13412,14954,16062,16237,16168.8,-152,125,-53,-91,1077,181.2,50.18,29.72,22.64,22.62,42.69,33.57,0.003006325,0.003177257,0.001964194,0.000229594,20943.42225,122.67135959999999,9273.747370000001,92737473704.0
MAHINDRA & MAHINDRA LTD,M&M,500520,0.1002,1191459943.0,100034.9768,839.6,40019,75841,83773,92094,104721,95179,90321.6,-154,416,1529,1672,-1394,413.8,661.08,813.56,826.1,903.55,260.35,692.928,0.009566643,0.017748684,0.004485559,0.004739112,91349.99555,0.9131805540000001,9153.269554,91532695537.0
INDUSIND BANK LTD,INDUSINDBK,532187,0.1421,759707691.8,79237.51225,1043.0,34024,11872,14406,17281,22261,28783,18920.6,-667,8516,-5412,1568,1220,1045,274.32,372.84,432.72,462.14,0,308.404,0.008133523,0.003718001,0.011327717,0.002109254,63221.23592000001,0.7978700259999999,8983.737625,89837376246.0
POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID,532898,0.0639,4944404132.0,109469.1075,221.4,67727,"20,652","25,697","29,954","35,059","37,744","29,821",-948,"1,698","-1,707","2,113","1,192",469.6,1514.4,2931.67,4445.43,3933.21,6857.3,3936.402,0.016190311,0.005860028000000001,0.005090427,0.026922058999999998,135157.06,1.234659376,8636.536133,86365361334.0
EICHER MOTORS LTD,EICHERMOT,505200,0.508,283133501.9,73218.3236,2586.0,10319,"6,173","7,033","8,965","9,797","9,154","8,224",-4,-10,75,623,-673,2.2,267.6,266.72,294.0,330.45,347.13,301.18,0.25%,0.001616139,2.3847800000000002e-05,0.002059847,15416.542669999999,0.2105558,7831.603678,78316036783.0
WIPRO LTD,WIPRO,507685,0.1109,5687268550.0,240002.7328,422.0,60841,"51,244","55,448","54,487","59,019","61,138","56,267","-6,032","-4,767",-979,"11,760","-1,442",-292,1514.36,509.58,480.18,630.28,583.32,743.544,0.014544195,0.01105681,-0.0031652570000000003,0.005085287,68802.58905,0.28667419,7630.207125,76302071254.0
TECH MAHINDRA LIMITED,TECHM,532755,0.1145,1054224420.0,101321.509,961.1,23692,"26,494","29,141","30,773","34,742","36,868","31,604","1,188",-392,-35,77,974,362,1047.55,787.64,1254.0,1246.42,1290.56,1125.234,0.005663633,0.006210279,0.003928387,0.007695763,58745.15341,0.579789563,6726.320065000001,67263200653.0
DLF LIMITED,DLF,532868,0.25,2680615995.0,85350.81327,318.4,34411,"9,926","8,221","6,707","8,366","6,083","7,861",210,761,"-2,064","2,921","-2,658",-166,358.02,357.5,357.12,435.27,495.55,400.69199999999995,0.82%,0.001544651,-0.0017994270000000001,0.002740435,26779.23832,0.31375492899999996,6694.809579,66948095793.0
BRITANNIA INDUSTRIES LTD,BRITANNIA,500825,0.494,240685262.3,84068.95527,3492.9,2674,"8,397","9,054","9,914","11,055","11,600","10,004",8,-4,60,-49,17,6.4,239.25,265.2,301.2,359.29,841.8,401.348,0.06%,0.00196584,6.93755e-05,0.002744922,13548.40937,0.161158294,6692.914227,66929142275.0
COLGATE-PALMOLIVE (INDIA) LTD,COLPAL,500830,0.49,271576212.8,44330.7431,1632.35,1633,"3,868","3,982","4,188","4,462","4,525","4,205",61,5,107,73,20,53.2,273.07,271.19,652.81,628.56,758.88,516.9019999999999,0.04%,0.000826305,0.000576684,0.003535225,13321.46679,0.30050177100000003,6527.518728,65275187280.0
REC LIMITED,RECLTD,532955,0.0833,1943426357.0,28063.0766,144.4,40593,"24,125","24,338","22,658","25,408","29,942","25,294","1,257","2,757","-4,220",134,"1,336",253,1707.3,1893.9,1824.91,2181.58,2187.68,1959.0739999999998,0.009703859,0.004970448,0.0027403320000000003,0.013398608000000001,77033.116,2.744998957,6416.858563000001,64168585629.0
