Company Name,Company Ticker,Investibility weighting factor,Total Shares,Market Cap,Market Share Price,Book Value,Sales (Rs Cr),,,,,Average Sales,Net Cash Flow (Rs Cr),,,,,Average NCF,Dividends (Rs Cr),,,,,Average Dividends,Book Value percentage,Sales percentage,Cash flow percentage,Dividend percentage,RAFI Fundamental Value ,Rafi adjustment factor Ci,Investible Rafi fundamental Value,Total issued Share Capital,Company value
,,,,,,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,2016,2017,2018,2019,2020,,,,,,,,,,
BHARAT PETROLEUM CORPN. LTD,BPCL,0.459,1926773333,89305.944,463.5,40060,"1,87,815","2,01,251","2,35,895","2,98,226","2,84,572","2,41,552",555,"-1,429",-215,-87,329,-169.4,2022.5,4273.29,4144.14,3744.96,3238.3,3484.638,0.96%,0.047466239,-0.001836283,0.02383233,197596.8261,2.212583142,90696.9432,,9.07E+11
BHARTI AIRTEL LTD,BHARTIARTL,0.437,5961991826,318251.1237,533.8,59340,"96,532","95,468","82,639","80,780","87,539","88,592","1,905","-2,752","3,835","1,248","7,675","2,382",546.93,418,2132.06,1000.4,965.49,1012.576,1.42%,0.01740873,0.025822858,0.006925266,160855.5785,0.505436011,70293.88782,,7.03E+11
BIOCON LTD,BIOCON,0.387,1179528198,46614.9544,395.2,7055,"3,347","3,891","4,123","5,514","6,367","4,648",300,-47,-261,210,165,73.4,99,61.2,59.52,63.35,0,56.614,0.17%,0.000913436,0.00079565,0.000387198,9456.997949,0.202874766,3659.858206,,36598582064
BOSCH LTD,BOSCHLTD,0.295,29320977.85,43870.04707,14962,8826,"9,701","10,435","11,690","12,085","9,842","10,751",-33,33,234,-172,64,25.2,260.27,504.89,301.62,303.62,312,336.48,0.21%,0.002112551,0.000273166,0.002301273,16992.16884,0.387329624,5012.689807,,50126898068
BRITANNIA INDUSTRIES LTD,BRITANNIA,0.494,240685262.3,84068.95527,3492.9,2674,"8,397","9,054","9,914","11,055","11,600","10,004",8,-4,60,-49,17,6.4,239.25,265.2,301.2,359.29,841.8,401.348,0.06%,0.00196584,6.94E-05,0.002744922,13548.40937,0.161158294,6692.914227,,66929142275
CADILA HEALTHCARE LTD,CADILAHC,0.251,1022468034,45254.4352,442.6,11754,"9,427","9,376","11,905","13,166","14,253","11,625",99,756,-3,-811,399,88,328.78,327.36,355.2,351.31,353.1,343.15,0.28%,0.002284454,0.000953913,0.002346891,20987.7028,0.46377118,5267.913404,,52679134037
CIPLA LTD,CIPLA,0.633,885358603.8,71359.90346,806,17076,"13,790","14,394","15,156","16,362","17,132","15,367",312,-248,243,-345,234,39.2,"1,849",160.96,239.87,244.48,324.87,564,0.41%,0.00301966,0.000424925,0.003856218,28457.15977,0.398783608,18013.38214,,1.80E+11
COAL INDIA LIMITED,COALINDIA,0.339,6091663151,92410.53,151.7,37084,"1,05,083","78,164","85,244","99,586","96,080","92,831","1,721",-682,-196,"-2,426","-2,471",-811,17263.07,12342.4,10276.94,8032.98,7354.16,11053.91,0.89%,0.018241874,-0.008789007,0.075600515,234796.0132,2.540792843,79595.84849,,7.96E+11
COLGATE-PALMOLIVE (INDIA) LTD,COLPAL,0.49,271576212.8,44330.7431,1632.35,1633,"3,868","3,982","4,188","4,462","4,525","4,205",61,5,107,73,20,53.2,273.07,271.19,652.81,628.56,758.88,516.902,0.04%,0.000826305,0.000576684,0.003535225,13321.46679,0.300501771,6527.518728,,65275187280
CONTAINER CORPORATION OF INDIA LTD,CONCOR,0.452,604133685.9,36006.36768,596,10047,"6,278","5,980","6,612","6,956","6,530","6,471","-1,833",855,76,-79,-64,-209,260.82,334.23,416.91,516.18,218.16,349.26,0.24%,0.001271626,-0.002265543,0.002388678,9491.304228,0.263600714,4290.069511,,42900695109
DABUR INDIA LTD,DABUR,0.321,1766237862,92427.2273,523.3,7127,"7,869","7,614","7,722","8,515","8,685","8,081",82,81,-27,-51,54,27.8,400.32,395.87,1096.74,490.28,534.65,583.572,0.17%,0.00158796,0.00030135,0.003991198,18960.58882,0.205140729,6086.34901,,60863490104
DIVI'S LABORATORIES LTD,DIVISLAB,0.48,264419773,92599.8045,3502,8323,"3,776","4,064","3,891","4,946","5,394","4,414",0,13,-17,23,41,12,270.24,265,263.1,419.43,426.87,328.928,0.20%,0.000867414,0.000130079,0.002249623,13091.87534,0.141381242,6284.100163,,62841001626
DLF LIMITED,DLF,0.25,2680615995,85350.81327,318.4,34411,"9,926","8,221","6,707","8,366","6,083","7,861",210,761,"-2,064","2,921","-2,658",-166,358.02,357.5,357.12,435.27,495.55,400.692,0.82%,0.001544651,-0.001799427,0.002740435,26779.23832,0.313754929,6694.809579,,66948095793
DR. REDDY'S LABORATORIES LTD,DRREDDY,0.732,165784995.9,74485.5408,4492.9,16667,"15,568","14,196","14,281","15,448","17,517","15,402",-47,-114,-124,-31,-27,-68.6,340.96,335.92,331.45,331.5,425.46,353.058,0.40%,0.003026577,-0.000743619,0.002414654,21704.75099,0.291395494,15887.87772,,1.59E+11
EICHER MOTORS LTD,EICHERMOT,0.508,283133501.9,73218.3236,2586,10319,"6,173","7,033","8,965","9,797","9,154","8,224",-4,-10,75,623,-673,2.2,267.6,266.72,294,330.45,347.13,301.18,0.25%,0.001616139,2.38E-05,0.002059847,15416.54267,0.2105558,7831.603678,,78316036783
GAIL (INDIA) LTD,GAIL,0.479,4482510787,65892.90856,147,50969,"52,053","48,552","54,496","76,190","72,508","60,760",29,415,858,"-1,081",328,109.8,691.53,1886.08,2063.57,1636.5,2920.82,1839.7,1.22%,0.01193963,0.001190223,0.012582178,94740.75078,1.43779889,45380.81963,,4.54E+11
GENERAL INSURANCE CORPORATION OF INDIA,GICRE,0.142,1743676778,34202.22,196.15,27754,"15,211","26,715","38,096","44,297","51,695","35,203","2,033","2,429","1,981","-1,324","3,006","1,625",531,1000.96,1196.58,1178.72,0,781.452,0.66%,0.006917541,0.017614871,0.00534455,91279.06401,2.668805242,12961.62709,,1.30E+11
GLAXOSMITHKLINE PHARMACEUTICALS LTD,GLAXO,0.25,170685386.6,26207.88768,1535.45,2184,2828,2980,2871,3128,3224,3006.2,0,24,62,-102,6,-2,424.88,252.75,298.35,338.2,676.11,398.058,0.000522091,0.000590735,-2.17E-05,0.00272242,9533.91467,0.363780355,1209.853772,,12098537717
GODREJ CONSUMER PRODUCTS LTD,GODREJCP,0.3677,1023893669,70653.7826,690.05,8653,8424,9268,9847,10314,9911,9552.8,23,282,3,-36,-259,2.6,198.72,508.56,686.28,1030.48,823.35,649.478,0.002068522,0.001877177,2.82E-05,0.004441946,21039.57088,0.297784069,1453.834348,,14538343477
GODREJ PROPERTIES LIMITED,GODREJPROP,0.3556,251222501.5,37608.00848,1497,4796,2123,1583,1604,2817,2441,2113.6,126,-214,-311,476,22,19.8,0,0,0,0,0,0,0.001146496,0.000415334,0.00021463,0,5921.534068,0.157454072,579.7181853,,5797181853
GRASIM INDUSTRIES LTD,GRASIM,0.5858,656931558.2,87733.2096,1335.5,60252,34487,36068,55894,77200,77625,56254.8,-11,-20,856,287,1849,592.2,222.12,253.36,401.85,457.11,265.5,319.988,0.014403393,0.011054373,0.006419401,0.00218848,85164.11727,0.970716991,22985.79525,,2.30E+11
HAVELLS INDIA LIMITED,HAVELLS,0.405,624300502.3,69906.04875,1119.75,4710,7594,6130,8116,10073,9440,8270.6,-229,450,-255,368,-437,-20.6,377,217.8,26.48,283.68,249.9,230.972,0.001125937,0.001625218,-0.000223302,0.001579677,10268.82336,0.146894633,775.2961637,,7752961637
HCL TECHNOLOGIES LTD,HCLTECH,0.3967,2722298630,256916.9332,943.75,56617,31136,47568,50569,60427,70676,52075.2,-623,588,378,4244,-2141,489.2,2240.8,3442.4,1656.99,1113.2,2764.25,2243.528,0.013534437,0.010233059,0.005302889,0.015344061,111036.1167,0.432186837,4952.210804,,49522108041
HDFC ASSET MANAGEMENT COMPANY LIMITED,HDFCAMC,0.2608,233405266.5,73545.99948,3151,4080,1490,1568,1870,2075,2124,1825.4,-2,0,1,-1,26,4.8,200.76,231,334.17,512.05,593.14,374.224,0.000975334,0.000358701,5.20E-05,0.002559414,9863.701255,0.134116081,1118.543722,,11185437223
HDFC BANK LTD,HDFCBANK,0.74,6038420572,926233.3316,1533.9,176394,63162,73271,85288,105161,122189,89814.2,2542,10242,73750,-41244,6122,10282.4,2432.19,2750.4,3331.8,4019.76,1362.7,2779.37,0.042167432,0.017648977,0.111460397,0.019008822,475714.0712,0.513600682,61604.97221,,6.16E+11
HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE,0.4113,2220634287,159263.8911,717.2,7822,18141,30647,32260,38857,29729,29926.8,1513,817,2122,-651,-373,685.6,179.74,221.75,276.75,332.28,0,202.104,0.001869869,0.005880779,0.007431849,0.001382241,41411.84434,0.260020298,3793.324941,,37933249414
HERO MOTOCORP LIMITED,HEROMOTOCO,0.6524,202974157.2,70229.05838,3460,14913,28457,28610,32458,33971,29254,30550,-53,-1,57,78,97,35.6,1445.32,1684.48,1897.2,1722,1782.62,1706.324,0.00356499,0.006003241,0.000385901,0.011669986,54060.29526,0.769771039,5065.449666,,50654496657
